Name;;RA;;;Dec;;K;V_H;sig;sour;type;d1;d2;;;
;hh;mm;ss.ss;ddd;mm;dd.d;mag;km/s;km/s;;;arcmin;;;;
111604.40+0300100;11;16;4.40;+03;00;10.0;13.24;14740;29;5918;;0.23;0.18;1.002;0.299;0.760  
111604.85-0826044;11;16;4.85;-08;26;4.4;12.62;20115;80;6003;;0.39;0.13;1.379;0.556;0.340  
111605.08-0346582;11;16;5.08;-03;46;58.2;13.11;24291;51;5100;;0.29;0.15;1.281;0.542;0.500  
111605.96-0444083;11;16;5.96;-04;44;8.3;13.33;25332;85;1781;;0.20;0.14;1.242;0.508;0.720  
111606.02+1812409;11;16;6.02;+18;12;40.9;13.31;0;0;0;;0.27;0.22;0.858;0.233;0.820  
111606.39-0140132;11;16;6.39;-01;40;13.2;13.10;16188;85;1781;;0.29;0.10;1.074;0.371;0.360  
111607.01+1139005;11;16;7.01;+11;39;0.5;12.42;21971;55;5920;;0.27;0.22;1.148;0.356;0.840  
111607.26+3143027;11;16;7.26;+31;43;2.7;11.96;10651;46;5920;;0.35;0.31;0.972;0.349;0.860  
111607.62-0821414;11;16;7.62;-08;21;41.4;13.47;0;0;0;;0.22;0.17;1.149;0.334;0.760  
111608.85+0006487;11;16;8.85;+00;06;48.7;13.19;22681;46;5918;;0.21;0.16;1.012;0.209;0.760  
111608.91+3245397;11;16;8.91;+32;45;39.7;13.41;0;0;0;;0.23;0.16;1.014;0.392;0.720  
111609.34+0034250;11;16;9.34;+00;34;25.0;12.60;8804;19;2700;5X;0.42;0.27;0.873;0.237;0.640  
111609.40+2905137;11;16;9.40;+29;05;13.7;13.02;0;0;0;;0.33;0.25;1.022;0.345;0.760  
111610.23-0404412;11;16;10.23;-04;04;41.2;12.48;0;0;0;;0.37;0.12;1.028;0.290;0.320  
111610.26-0139472;11;16;10.26;-01;39;47.2;12.85;16068;85;1781;;0.41;0.34;1.066;0.501;0.820  
111610.62+2627397;11;16;10.62;+26;27;39.7;12.42;0;0;0;;0.36;0.14;1.183;0.439;0.400  
111610.81+2926327;11;16;10.81;+29;26;32.7;12.16;8322;29;2760;20__P;0.35;0.22;0.908;0.311;0.620  
111611.12-0127022;11;16;11.12;-01;27;2.2;13.08;22484;85;1781;;0.26;0.23;1.090;0.480;0.900  
111612.04+0114189;11;16;12.04;+01;14;18.9;12.57;13714;51;5918;;0.28;0.19;1.042;0.334;0.680  
111613.12-0517359;11;16;13.12;-05;17;35.9;12.87;26351;85;1781;;0.21;0.17;1.154;0.476;0.800  
111613.54+2923065;11;16;13.54;+29;23;6.5;11.05;8837;30;2760;-5;0.44;0.37;0.965;0.255;0.840  
111613.87+2915295;11;16;13.87;+29;15;29.5;13.33;13904;36;-807;;0.18;0.14;1.095;0.400;0.780  
111613.91-0628476;11;16;13.91;-06;28;47.6;12.31;25632;85;1781;;0.45;0.34;0.978;0.314;0.740  
111613.95+2103154;11;16;13.95;+21;03;15.4;13.30;0;0;0;;0.21;0.14;1.196;0.438;0.660  
111614.87-0442089;11;16;14.87;-04;42;8.9;12.66;15469;85;1781;;0.28;0.20;1.019;0.378;0.720  
111614.94-0428469;11;16;14.94;-04;28;46.9;13.26;25332;85;1781;;0.21;0.18;1.067;0.366;0.860  
111615.13-0456339;11;16;15.13;-04;56;33.9;13.36;13880;85;1781;;0.24;0.14;1.103;0.445;0.560  
111615.19+3255277;11;16;15.19;+32;55;27.7;12.70;0;0;0;;0.33;0.27;0.949;0.344;0.800  
111616.90+1953514;11;16;16.90;+19;53;51.4;12.69;0;0;0;;0.26;0.20;1.144;0.489;0.780  
111617.31+0253199;11;16;17.31;+02;53;19.9;11.22;8956;37;2700;4;0.48;0.40;0.874;0.230;0.820  
111617.39+2913345;11;16;17.39;+29;13;34.5;11.25;13170;29;2760;-4__D;0.55;0.40;1.058;0.392;0.720  
111618.48+0949188;11;16;18.48;+09;49;18.8;13.01;19746;48;5918;;0.25;0.15;1.022;0.316;0.620  
111619.29+3243050;11;16;19.29;+32;43;5.0;13.25;0;0;0;;0.42;0.29;1.083;0.486;0.700  
111619.95+2012324;11;16;19.95;+20;12;32.4;13.04;0;0;0;;0.29;0.17;0.992;0.196;0.600  
111620.14+0813278;11;16;20.14;+08;13;27.8;12.86;21090;53;5920;;0.28;0.20;0.939;0.246;0.700  
111621.07+3230540;11;16;21.07;+32;30;54.0;13.23;0;0;0;;0.29;0.21;1.119;0.398;0.740  
111621.35-0535239;11;16;21.35;-05;35;23.9;12.19;11601;85;1781;;0.42;0.31;0.996;0.300;0.740  
111621.53-0004269;11;16;21.53;-00;04;26.9;12.81;29868;28;5906;19;0.31;0.17;1.214;0.435;0.540  
111621.55-0550079;11;16;21.55;-05;50;7.9;13.38;30100;65;5100;;0.18;0.18;1.239;0.399;1.000  
111621.62-0513549;11;16;21.62;-05;13;54.9;13.16;12291;85;1781;;0.43;0.29;0.888;0.256;0.680  
111621.63+1156564;11;16;21.63;+11;56;56.4;12.56;14246;54;5920;;0.36;0.17;1.002;0.328;0.480  
111621.95+2926226;11;16;21.95;+29;26;22.6;12.96;8756;51;2760;;0.40;0.28;0.968;0.274;0.700  
111622.17+0318299;11;16;22.17;+03;18;29.9;12.74;14854;51;5918;;0.23;0.14;0.966;0.279;0.640  
111622.37+0442589;11;16;22.37;+04;42;58.9;12.57;12443;62;2700;-3;0.52;0.43;1.021;0.263;0.820  
111622.74+2915086;11;16;22.74;+29;15;8.6;11.04;13581;32;2760;-1__P;0.56;0.37;0.984;0.302;0.660  
111623.20+1200554;11;16;23.20;+12;00;55.4;11.98;13969;33;-160;;0.44;0.36;0.943;0.274;0.820  
111623.72+0757489;11;16;23.72;+07;57;48.9;12.76;21947;53;5920;;0.32;0.28;1.135;0.379;0.900  
111623.79+2837346;11;16;23.79;+28;37;34.6;12.07;0;0;0;;0.50;0.36;1.069;0.377;0.720  
111624.86+0046549;11;16;24.86;+00;46;54.9;12.91;13772;26;5920;;0.26;0.19;1.058;0.350;0.720  
111625.41+2200494;11;16;25.41;+22;00;49.4;13.39;0;0;0;;0.35;0.26;1.303;0.564;0.740  
111625.51+0948259;11;16;25.51;+09;48;25.9;12.46;17196;47;5920;;0.38;0.17;1.050;0.316;0.440  
111625.64+2916126;11;16;25.64;+29;16;12.6;12.78;14484;27;-213;;0.25;0.20;1.069;0.382;0.800  
111626.14+0420109;11;16;26.14;+04;20;10.9;13.32;1109;19;2700;1A;0.50;0.11;0.707;0.017;0.220  
111626.39-0057209;11;16;26.39;-00;57;20.9;12.82;22190;22;5906;19;0.25;0.19;1.336;0.632;0.740  
111626.65-0739376;11;16;26.65;-07;39;37.6;13.44;0;0;0;;0.23;0.14;0.924;0.514;0.600  
111626.91+2005014;11;16;26.91;+20;05;1.4;13.16;0;0;0;;0.30;0.13;1.122;0.455;0.440  
111627.31-0528499;11;16;27.31;-05;28;49.9;12.32;11500;87;1777;;0.41;0.25;0.975;0.255;0.600  
111627.33-0711096;11;16;27.33;-07;11;9.6;12.69;19078;80;6003;;0.35;0.18;1.176;0.453;0.520  
111627.34+1833174;11;16;27.34;+18;33;17.4;13.37;0;0;0;;0.27;0.15;1.051;0.318;0.560  
111627.48+2911316;11;16;27.48;+29;11;31.6;12.35;13206;27;2736;20;0.40;0.33;1.018;0.314;0.840  
111627.67-0608286;11;16;27.67;-06;08;28.6;12.18;0;0;0;;0.34;0.22;1.099;0.577;0.660  
111627.78+2911136;11;16;27.78;+29;11;13.6;12.99;14655;32;2736;3B;0.26;0.23;1.041;0.355;0.880  
111628.01+2919356;11;16;28.01;+29;19;35.6;12.07;13910;8;2463;4B1P;0.45;0.39;0.877;0.249;0.860  
111628.29+0832169;11;16;28.29;+08;32;16.9;13.46;49382;49;5918;;0.32;0.14;1.230;0.432;0.420  
111628.33+3241270;11;16;28.33;+32;41;27.0;13.35;0;0;0;;0.25;0.12;0.975;0.279;0.500  
111628.47+2917096;11;16;28.47;+29;17;9.6;11.82;14201;63;2760;;0.45;0.35;1.045;0.390;0.780  
111628.66+0003320;11;16;28.66;+00;03;32.0;13.27;30041;51;5918;;0.20;0.13;1.036;0.346;0.680  
111628.79+2841556;11;16;28.79;+28;41;55.6;13.10;0;0;0;;0.26;0.11;1.112;0.267;0.440  
111629.01-0713266;11;16;29.01;-07;13;26.6;13.10;0;0;0;;0.22;0.15;1.420;0.649;0.700  
111629.34-0911116;11;16;29.34;-09;11;11.6;12.13;7305;80;6003;;0.42;0.34;0.942;0.296;0.820  
111629.63+3327300;11;16;29.63;+33;27;30.0;12.52;0;0;0;;0.35;0.18;1.126;0.399;0.520  
111629.66-0054399;11;16;29.66;-00;54;39.9;12.87;22861;26;5906;19;0.23;0.14;1.048;0.333;0.640  
111630.76+2913436;11;16;30.76;+29;13;43.6;12.23;14512;43;4200;20;0.29;0.21;1.090;0.312;0.720  
111630.82+2600436;11;16;30.82;+26;00;43.6;13.26;0;0;0;;0.20;0.17;1.196;0.434;0.840  
111631.19+0709089;11;16;31.19;+07;09;8.9;13.23;11206;30;5920;;0.35;0.27;0.906;0.243;0.760  
111631.53-0442249;11;16;31.53;-04;42;24.9;13.41;31568;85;1781;;0.21;0.14;1.121;0.456;0.660  
111631.95+1150449;11;16;31.95;+11;50;44.9;12.35;13814;53;5920;;0.40;0.29;0.978;0.310;0.740  
111632.08+2601086;11;16;32.08;+26;01;8.6;11.84;0;0;0;;0.61;0.28;0.981;0.306;0.460  
111632.29+2846356;11;16;32.29;+28;46;35.6;13.09;7057;39;2760;20__P;0.38;0.26;1.042;0.403;0.700  
111632.29+2916336;11;16;32.29;+29;16;33.6;12.08;13879;43;2760;;0.49;0.43;1.133;0.402;0.880  
111632.73+0701299;11;16;32.73;+07;01;29.9;12.87;16200;46;5920;;0.32;0.15;1.366;0.530;0.460  
111632.86+1437514;11;16;32.86;+14;37;51.4;13.35;20382;48;5920;;0.23;0.12;1.159;0.610;0.500  
111633.06+0055420;11;16;33.06;+00;55;42.0;12.41;19001;47;5918;;0.36;0.30;1.031;0.304;0.840  
111633.21+2918436;11;16;33.21;+29;18;43.6;12.25;13973;9;2463;3;0.38;0.17;1.150;0.426;0.440  
111633.51+1116179;11;16;33.51;+11;16;17.9;13.04;21189;50;5920;;0.30;0.24;1.225;0.550;0.800  
111633.81+2846066;11;16;33.81;+28;46;6.6;13.26;7009;36;2760;20__P;0.23;0.21;0.739;0.114;0.920  
111633.86+0255520;11;16;33.86;+02;55;52.0;13.38;0;0;0;;0.24;0.24;1.301;0.381;1.000  
111633.99-0101409;11;16;33.99;-01;01;40.9;12.23;22309;33;5906;19;0.33;0.27;1.111;0.490;0.800  
111634.14+0602109;11;16;34.14;+06;02;10.9;13.18;14288;57;5920;;0.22;0.14;1.185;0.415;0.620  
111634.38+2604306;11;16;34.38;+26;04;30.6;13.05;0;0;0;;0.28;0.18;1.012;0.320;0.660  
111634.41+1205079;11;16;34.41;+12;05;7.9;13.30;14405;55;5920;;0.20;0.20;1.130;0.431;1.000  
111634.58+2915166;11;16;34.58;+29;15;16.6;11.59;14599;33;2736;-3B;0.21;0.07;1.019;0.283;0.340  
111634.78+2749266;11;16;34.78;+27;49;26.6;12.96;0;0;0;;0.21;0.18;1.111;0.390;0.880  
111635.15+2339264;11;16;35.15;+23;39;26.4;13.38;0;0;0;;0.22;0.21;1.018;0.278;0.940  
111635.31+1807064;11;16;35.31;+18;07;6.4;12.59;0;0;0;;0.62;0.26;0.907;0.262;0.420  
111635.70+3242281;11;16;35.70;+32;42;28.1;13.28;0;0;0;;0.20;0.13;1.074;0.341;0.640  
111636.07+1402164;11;16;36.07;+14;02;16.4;13.10;23251;55;5920;;0.21;0.18;1.032;0.355;0.840  
111636.17+1112019;11;16;36.17;+11;12;1.9;12.16;13899;36;2700;-5;0.25;0.22;1.040;0.351;0.860  
111636.35+0219260;11;16;36.35;+02;19;26.0;12.82;0;0;0;;0.23;0.16;1.222;0.536;0.680  
111636.46+0004120;11;16;36.46;+00;04;12.0;13.32;29329;30;5918;;0.17;0.09;1.288;0.482;0.520  
111636.54-0748586;11;16;36.54;-07;48;58.6;12.18;13367;80;6003;;0.30;0.25;1.082;0.334;0.840  
111637.73-0121419;11;16;37.73;-01;21;41.9;12.65;19096;85;1781;;0.33;0.18;1.170;0.430;0.540  
111637.98+3217140;11;16;37.98;+32;17;14.0;12.29;0;0;0;;0.49;0.38;1.149;0.265;0.780  
111637.99-0101389;11;16;37.99;-01;01;38.9;12.06;8130;50;5920;;0.38;0.14;0.983;0.272;0.360  
111638.10+2437266;11;16;38.10;+24;37;26.6;12.87;0;0;0;;0.32;0.28;1.127;0.464;0.860  
111638.29+1551454;11;16;38.29;+15;51;45.4;12.72;0;0;0;;0.26;0.21;0.986;0.298;0.780  
111638.56+2918466;11;16;38.56;+29;18;46.6;13.08;0;0;0;;0.20;0.12;1.147;0.371;0.600  
111638.77+1543377;11;16;38.77;+15;43;37.7;12.74;3785;22;2700;0;0.36;0.21;0.918;0.301;0.580  
111638.91-0538089;11;16;38.91;-05;38;8.9;12.17;11542;85;1781;;0.50;0.24;0.969;0.255;0.480  
111639.97+3236270;11;16;39.97;+32;36;27.0;12.44;0;0;0;;0.39;0.36;1.099;0.307;0.920  
111640.82+0757488;11;16;40.82;+07;57;48.8;12.16;12479;18;2700;-4;0.39;0.32;1.086;0.400;0.820  
111641.61+1654427;11;16;41.61;+16;54;42.7;12.40;0;0;0;;0.44;0.37;0.901;0.302;0.860  
111641.71+2552126;11;16;41.71;+25;52;12.6;12.48;0;0;0;;0.41;0.37;0.982;0.331;0.900  
111642.09+3325460;11;16;42.09;+33;25;46.0;12.14;0;0;0;;0.50;0.21;0.941;0.243;0.420  
111642.17+0813448;11;16;42.17;+08;13;44.8;13.08;20787;55;5920;;0.27;0.22;1.046;0.379;0.800  
111643.02-0024578;11;16;43.02;-00;24;57.8;13.47;30749;21;5906;19;0.29;0.15;1.317;0.569;0.540  
111643.29-0012478;11;16;43.29;-00;12;47.8;13.25;11863;23;5906;19;0.19;0.12;0.924;0.215;0.620  
111643.32+2622218;11;16;43.32;+26;22;21.8;11.19;8158;3;661;4A;0.86;0.15;1.152;0.334;0.180  
111644.84+3219520;11;16;44.84;+32;19;52.0;13.17;0;0;0;;0.20;0.12;1.061;0.396;0.620  
111645.49+0554314;11;16;45.49;+05;54;31.4;12.78;24955;53;5918;;0.29;0.23;1.059;0.573;0.800  
111645.89+2026097;11;16;45.89;+20;26;9.7;13.24;0;0;0;;0.18;0.16;1.163;0.366;0.900  
111646.30+0636410;11;16;46.30;+06;36;41.0;13.41;50799;50;5920;;0.31;0.31;1.465;0.618;1.000  
111646.62+1801017;11;16;46.62;+18;01;1.7;9.78;686;20;2700;-4;0.78;0.45;0.872;0.205;0.580  
111646.83+3039330;11;16;46.83;+30;39;33.0;12.46;13079;48;5920;;0.32;0.13;1.280;0.394;0.400  
111646.93+2426279;11;16;46.93;+24;26;27.9;13.27;0;0;0;;0.24;0.17;1.114;0.505;0.700  
111647.03+0706590;11;16;47.03;+07;06;59.0;13.05;45343;57;5920;;0.22;0.16;1.187;0.630;0.740  
111647.93-0503088;11;16;47.93;-05;03;8.8;13.42;25842;85;1781;;0.21;0.15;1.276;0.720;0.720  
111649.04+2433129;11;16;49.04;+24;33;12.9;13.34;0;0;0;;0.22;0.18;1.056;0.454;0.840  
111649.27+0016424;11;16;49.27;+00;16;42.4;13.36;23121;50;5918;;0.23;0.20;0.967;0.366;0.880  
111649.63-0346548;11;16;49.63;-03;46;54.8;12.89;17394;75;5100;;0.33;0.09;1.437;0.570;0.280  
111649.69+2632499;11;16;49.69;+26;32;49.9;11.24;9994;21;2779;0;0.52;0.24;1.002;0.298;0.460  
111650.34-0124298;11;16;50.34;-01;24;29.8;12.95;0;0;0;;0.21;0.18;1.103;0.373;0.880  
111650.51+2039127;11;16;50.51;+20;39;12.7;12.90;0;0;0;;0.46;0.36;1.143;0.516;0.780  
111651.08+1747537;11;16;51.08;+17;47;53.7;10.64;976;6;2212;6;1.06;0.30;0.920;0.219;0.280  
111651.74+3300429;11;16;51.74;+33;00;42.9;13.26;0;0;0;;0.41;0.24;0.855;0.211;0.600  
111652.30+2411409;11;16;52.30;+24;11;40.9;13.21;0;0;0;;0.23;0.19;1.278;0.448;0.840  
111652.36+0441374;11;16;52.36;+04;41;37.4;13.33;12487;23;5918;;0.21;0.14;1.341;0.630;0.660  
111652.43+2925509;11;16;52.43;+29;25;50.9;13.14;0;0;0;;0.62;0.62;2.357;69.934;1.000  
111653.18+1655037;11;16;53.18;+16;55;3.7;12.48;0;0;0;;0.25;0.16;1.051;0.360;0.660  
111653.36+2350487;11;16;53.36;+23;50;48.7;12.14;28911;36;-160;;0.64;0.43;1.158;0.406;0.680  
111653.38+2758219;11;16;53.38;+27;58;21.9;13.02;0;0;0;;0.27;0.20;1.036;0.299;0.760  
111653.70+0953301;11;16;53.70;+09;53;30.1;13.50;20785;49;5918;;0.21;0.18;1.086;0.435;0.900  
111653.86+2634429;11;16;53.86;+26;34;42.9;13.38;0;0;0;;0.29;0.19;1.216;0.427;0.660  
111653.89+3233509;11;16;53.89;+32;33;50.9;12.85;9910;53;2779;;0.28;0.19;0.888;0.219;0.680  
111654.18+1309167;11;16;54.18;+13;09;16.7;13.27;43709;54;5920;;0.25;0.18;1.252;0.423;0.720  
111654.44+0443124;11;16;54.44;+04;43;12.4;12.71;12381;55;5920;;0.41;0.24;1.160;0.367;0.580  
111654.55+0707081;11;16;54.55;+07;07;8.1;13.15;45412;51;5920;;0.32;0.24;1.389;0.542;0.760  
111654.57+0500434;11;16;54.57;+05;00;43.4;12.78;0;0;0;;0.20;0.16;1.185;0.349;0.780  
111654.65+1803065;11;16;54.65;+18;03;6.5;7.11;951;21;2700;-4A_s;2.81;2.56;0.931;0.258;0.910  
111654.83+3235229;11;16;54.83;+32;35;22.9;12.42;10060;41;2779;;0.45;0.32;0.949;0.317;0.720  
111654.86+2536209;11;16;54.86;+25;36;20.9;13.30;0;0;0;;0.18;0.12;0.879;0.274;0.680  
111654.96+0520324;11;16;54.96;+05;20;32.4;13.28;0;0;0;;0.27;0.20;1.016;0.436;0.740  
111655.20-0202118;11;16;55.20;-02;02;11.8;13.15;12381;85;1781;;0.18;0.15;0.858;0.110;0.840  
111655.36+2108597;11;16;55.36;+21;08;59.7;12.39;17996;51;1153;;0.44;0.30;1.026;0.371;0.680  
111655.77+0500184;11;16;55.77;+05;00;18.4;12.21;13940;26;-160;;0.40;0.28;1.027;0.325;0.680  
111655.82+0247234;11;16;55.82;+02;47;23.4;13.32;30665;45;5918;;0.20;0.13;1.282;0.502;0.680  
111656.00+0939571;11;16;56.00;+09;39;57.1;13.15;0;0;0;;0.31;0.18;1.242;0.770;0.600  
111656.20-0613099;11;16;56.20;-06;13;9.9;10.96;7381;68;3911;5;0.48;0.37;1.026;0.327;0.780  
111656.24-0438278;11;16;56.24;-04;38;27.8;13.26;0;0;0;;0.20;0.14;1.056;0.330;0.700  
111656.96-0015548;11;16;56.96;-00;15;54.8;13.49;32626;23;5906;19;0.22;0.17;1.176;0.390;0.760  
111657.33+1541507;11;16;57.33;+15;41;50.7;12.98;0;0;0;;0.34;0.15;1.043;0.352;0.440  
111657.35+2820239;11;16;57.35;+28;20;23.9;12.87;0;0;0;;0.28;0.17;1.094;0.455;0.600  
111657.68-0100018;11;16;57.68;-01;00;1.8;12.96;22089;19;5906;19;0.27;0.20;1.051;0.324;0.740  
111658.33+3229220;11;16;58.33;+32;29;22.0;12.98;0;0;0;;0.29;0.11;1.204;0.384;0.380  
111658.96+1808547;11;16;58.96;+18;08;54.7;8.17;1108;10;2212;-5;1.35;1.08;0.876;0.271;0.800  
111659.34-0114138;11;16;59.34;-01;14;13.8;12.84;22970;29;5920;;0.28;0.26;1.060;0.388;0.940  
111700.13+3235510;11;17;0.13;+32;35;51.0;11.21;10455;33;2700;-2__P;0.55;0.45;1.000;0.293;0.820  
111700.22+3230230;11;17;0.22;+32;30;23.0;11.59;10604;19;-160;;0.55;0.33;1.003;0.296;0.600  
111700.39-0944009;11;17;0.39;-09;44;0.9;12.77;34775;80;6003;;0.23;0.18;1.200;0.645;0.760  
111700.41+2908259;11;17;0.41;+29;08;25.9;11.76;13986;33;2760;;0.42;0.28;1.073;0.328;0.660  
111700.76-0613209;11;17;0.76;-06;13;20.9;12.97;7622;87;1777;;0.23;0.12;0.987;0.342;0.500  
111701.86+2905569;11;17;1.86;+29;05;56.9;11.94;14181;51;-2;;0.32;0.30;1.073;0.395;0.940  
111701.92+0534244;11;17;1.92;+05;34;24.4;13.25;24508;44;5918;;0.24;0.17;1.009;0.383;0.700  
111702.01+0712081;11;17;2.01;+07;12;8.1;13.48;44956;48;5920;;0.19;0.19;1.765;0.759;1.000  
111702.38+3316050;11;17;2.38;+33;16;5.0;13.36;0;0;0;;0.18;0.18;1.162;0.596;1.000  
111703.21+1256537;11;17;3.21;+12;56;53.7;12.85;25527;50;5920;;0.32;0.20;1.064;0.356;0.640  
111703.49+1420077;11;17;3.49;+14;20;7.7;12.76;25443;54;5920;;0.30;0.24;1.017;0.301;0.800  
111703.66-0406208;11;17;3.66;-04;06;20.8;13.32;0;0;0;;0.24;0.14;1.103;0.408;0.580  
111703.79+3222240;11;17;3.79;+32;22;24.0;13.06;0;0;0;;0.21;0.16;0.989;0.217;0.780  
111703.94+0500014;11;17;3.94;+05;00;1.4;12.90;0;0;0;;0.33;0.16;1.281;0.705;0.500  
111704.20+2721019;11;17;4.20;+27;21;1.9;11.95;0;0;0;;0.43;0.37;1.130;0.473;0.860  
111704.23+3257120;11;17;4.23;+32;57;12.0;12.08;0;0;0;;0.41;0.20;0.967;0.238;0.500  
111704.85+3317360;11;17;4.85;+33;17;36.0;13.15;0;0;0;;0.25;0.17;1.430;0.850;0.680  
111705.60-0434468;11;17;5.60;-04;34;46.8;13.13;25422;85;1781;;0.28;0.13;1.341;0.563;0.480  
111705.81+0959201;11;17;5.81;+09;59;20.1;13.01;23340;55;5918;;0.41;0.33;0.992;0.377;0.800  
111705.92+2715259;11;17;5.92;+27;15;25.9;12.99;0;0;0;;0.36;0.20;1.036;0.420;0.560  
111706.21+2931539;11;17;6.21;+29;31;53.9;13.06;8838;45;-807;;0.29;0.13;1.150;0.370;0.460  
111706.40+0854341;11;17;6.40;+08;54;34.1;13.22;25506;44;5918;;0.17;0.17;1.233;0.515;1.000  
111707.54-0132388;11;17;7.54;-01;32;38.8;13.46;39272;85;1781;;0.17;0.14;1.103;0.409;0.840  
111707.81-0751399;11;17;7.81;-07;51;39.9;12.66;13397;80;6003;;0.43;0.23;0.940;0.382;0.540  
111708.27+3355110;11;17;8.27;+33;55;11.0;12.43;0;0;0;;0.58;0.23;1.057;0.472;0.400  
111708.52+3215540;11;17;8.52;+32;15;54.0;13.41;18188;48;5920;;0.20;0.14;1.028;0.209;0.720  
111709.32+0118535;11;17;9.32;+01;18;53.5;13.39;45666;53;5918;;0.24;0.16;1.422;0.768;0.660  
111709.79+3340530;11;17;9.79;+33;40;53.0;13.34;0;0;0;;0.23;0.16;1.278;0.474;0.680  
111709.89-0533548;11;17;9.89;-05;33;54.8;12.18;11631;85;1781;;0.40;0.33;1.017;0.287;0.820  
111710.10+2550369;11;17;10.10;+25;50;36.9;12.33;0;0;0;;0.57;0.15;0.975;0.306;0.260  
111710.60+0301405;11;17;10.60;+03;01;40.5;13.35;10237;18;2700;1A;0.32;0.15;0.946;0.308;0.460  
111710.63+0755140;11;17;10.63;+07;55;14.0;12.92;22043;36;5920;;0.37;0.25;1.088;0.411;0.680  
111710.71+2915139;11;17;10.71;+29;15;13.9;12.85;14962;34;-807;;0.26;0.19;1.077;0.348;0.720  
111711.43+1811456;11;17;11.43;+18;11;45.6;13.30;0;0;0;;0.16;0.13;1.098;0.381;0.780  
111711.70+2204026;11;17;11.70;+22;04;2.6;13.49;0;0;0;;0.23;0.20;1.085;0.439;0.880  
111712.06+1901426;11;17;12.06;+19;01;42.6;12.80;0;0;0;;0.34;0.18;1.164;0.456;0.540  
111712.79+0548215;11;17;12.79;+05;48;21.5;13.16;14598;44;5918;;0.23;0.12;1.038;0.297;0.520  
111714.18-0251030;11;17;14.18;-02;51;3.0;13.33;34218;87;1777;;0.17;0.13;1.042;0.329;0.740  
111714.24+2821319;11;17;14.24;+28;21;31.9;13.15;0;0;0;;0.30;0.21;1.016;0.347;0.700  
111714.40+2931139;11;17;14.40;+29;31;13.9;13.15;24484;35;-807;;0.32;0.24;1.087;0.373;0.740  
111716.38+1410000;11;17;16.38;+14;10;0.0;13.38;50368;52;5920;;0.35;0.18;1.339;0.604;0.520  
111716.50+0611340;11;17;16.50;+06;11;34.0;12.69;0;0;0;;0.37;0.13;0.977;0.238;0.360  
111716.96+1619380;11;17;16.96;+16;19;38.0;13.44;0;0;0;;0.28;0.16;0.675;0.042;0.580  
111717.24+2438266;11;17;17.24;+24;38;26.6;11.93;0;0;0;;0.44;0.20;1.021;0.333;0.460  
111717.59+0957320;11;17;17.59;+09;57;32.0;12.73;23669;59;5918;;0.41;0.26;1.123;0.447;0.620  
111717.69+0530455;11;17;17.69;+05;30;45.5;13.01;14508;25;5918;;0.30;0.14;0.943;0.363;0.480  
111718.59+2936106;11;17;18.59;+29;36;10.6;12.36;14617;54;-213;;0.39;0.16;1.139;0.317;0.420  
111718.60+0019415;11;17;18.60;+00;19;41.5;13.07;46331;59;5918;;0.21;0.21;1.324;0.516;1.000  
111718.73+1754190;11;17;18.73;+17;54;19.0;13.17;0;0;0;;0.28;0.16;1.219;0.545;0.580  
111719.39+2718196;11;17;19.39;+27;18;19.6;12.80;0;0;0;;0.39;0.27;1.235;0.500;0.700  
111719.84+1441370;11;17;19.84;+14;41;37.0;13.38;15427;22;5920;;0.37;0.16;1.238;0.249;0.420  
111720.24+1415330;11;17;20.24;+14;15;33.0;13.25;25617;51;5920;;0.27;0.12;1.014;0.327;0.460  
111720.40-0330560;11;17;20.40;-03;30;56.0;13.24;24347;55;5100;;0.25;0.14;1.357;0.495;0.540  
111720.50+0226495;11;17;20.50;+02;26;49.5;11.49;6825;13;2700;1;0.62;0.14;1.147;0.417;0.220  
111720.67+0831250;11;17;20.67;+08;31;25.0;13.37;22690;37;5918;;0.17;0.17;1.027;0.369;1.000  
111720.83+2928116;11;17;20.83;+29;28;11.6;13.00;14615;43;-807;;0.29;0.10;1.192;0.353;0.360  
111721.13+3209330;11;17;21.13;+32;09;33.0;13.20;17993;46;5920;;0.25;0.11;1.133;0.383;0.440  
111721.41+2639496;11;17;21.41;+26;39;49.6;12.85;0;0;0;;0.34;0.18;0.990;0.295;0.540  
111721.48+2526166;11;17;21.48;+25;26;16.6;11.60;6756;27;-160;;0.68;0.60;0.923;0.276;0.880  
111721.89+2503586;11;17;21.89;+25;03;58.6;12.37;0;0;0;;0.44;0.28;0.975;0.341;0.640  
111721.97+2740226;11;17;21.97;+27;40;22.6;11.53;5790;45;4011;20;0.66;0.16;1.214;0.376;0.240  
111722.07+3242339;11;17;22.07;+32;42;33.9;12.43;0;0;0;;0.44;0.24;1.028;0.417;0.540  
111722.86-0004340;11;17;22.86;-00;04;34.0;13.47;30896;25;5906;19;0.27;0.21;1.010;0.354;0.780  
111723.44+3250379;11;17;23.44;+32;50;37.9;13.36;0;0;0;;0.35;0.21;1.155;0.555;0.580  
111724.22-0608135;11;17;24.22;-06;08;13.5;13.26;20931;87;1777;;0.22;0.11;1.031;0.350;0.480  
111724.77-0434390;11;17;24.77;-04;34;39.0;13.03;0;0;0;;0.40;0.17;0.832;0.251;0.440  
111725.29+0258115;11;17;25.29;+02;58;11.5;12.60;13701;46;5918;;0.37;0.30;1.106;0.347;0.820  
