Name;;RA;;;Dec;;K;V_H;sig;sour;type;d1;d2;;;
;hh;mm;ss.ss;ddd;mm;dd.d;mag;km/s;km/s;;;arcmin;;;;
110123.93+1546480;11;01;23.93;+15;46;48.0;12.93;0;0;0;;0.25;0.20;1.169;0.377;0.780  
110124.53-0107599;11;01;24.53;-01;07;59.9;13.24;21854;85;1781;;0.21;0.21;1.127;0.415;1.000  
110124.82+1013464;11;01;24.82;+10;13;46.4;11.44;10547;34;2715;0;0.53;0.21;0.971;0.288;0.400  
110124.82+1017384;11;01;24.82;+10;17;38.4;12.49;10986;29;2700;;0.28;0.19;1.019;0.370;0.680  
110124.96+1041044;11;01;24.96;+10;41;4.4;12.55;27745;42;2700;;0.42;0.32;1.066;0.439;0.760  
110125.64+1601010;11;01;25.64;+16;01;1.0;12.98;0;0;0;;0.22;0.18;1.163;0.463;0.840  
110126.04-0212529;11;01;26.04;-02;12;52.9;12.45;10861;87;1777;;0.39;0.24;0.915;0.209;0.600  
110126.36-0154229;11;01;26.36;-01;54;22.9;13.15;25850;87;1777;;0.23;0.23;1.113;0.380;1.000  
110126.45+0947194;11;01;26.45;+09;47;19.4;11.71;8152;12;5918;;0.34;0.30;1.045;0.308;0.880  
110127.18-0043059;11;01;27.18;-00;43;5.9;11.60;13270;58;5901;;0.84;0.44;0.953;0.270;0.520  
110127.19+1012484;11;01;27.19;+10;12;48.4;12.53;11030;52;5918;;0.24;0.21;0.990;0.305;0.880  
110127.50+2748579;11;01;27.50;+27;48;57.9;13.25;0;0;0;;0.34;0.24;1.126;0.398;0.700  
110127.82+2743099;11;01;27.82;+27;43;9.9;10.90;8906;15;5700;4B_s;0.64;0.27;1.021;0.325;0.420  
110128.23+1646060;11;01;28.23;+16;46;6.0;12.70;20704;100;1515;;0.29;0.23;0.990;0.292;0.800  
110128.65+1647490;11;01;28.65;+16;47;49.0;13.29;20044;100;1515;;0.19;0.14;1.084;0.356;0.740  
110128.71+1207580;11;01;28.71;+12;07;58.0;12.65;23725;59;5920;;0.30;0.19;1.197;0.455;0.620  
110128.93-0416119;11;01;28.93;-04;16;11.9;12.65;20517;87;1777;;0.25;0.20;1.093;0.496;0.800  
110130.20+3021554;11;01;30.20;+30;21;55.4;13.06;13964;50;5920;;0.25;0.19;0.990;0.325;0.760  
110130.55+1207480;11;01;30.55;+12;07;48.0;11.87;10741;19;-160;;0.46;0.29;1.005;0.369;0.620  
110130.68+2224420;11;01;30.68;+22;24;42.0;12.61;0;0;0;;0.32;0.19;1.040;0.326;0.580  
110131.16+2811159;11;01;31.16;+28;11;15.9;13.14;0;0;0;;0.24;0.19;1.107;0.367;0.800  
110131.35+0756224;11;01;31.35;+07;56;22.4;13.27;11280;19;5918;;0.17;0.13;0.842;0.218;0.720  
110131.47+0145269;11;01;31.47;+01;45;26.9;13.13;11811;48;5918;;0.29;0.28;0.845;0.257;0.960  
110131.52-0052549;11;01;31.52;-00;52;54.9;13.15;37728;87;1777;;0.23;0.13;1.257;0.665;0.560  
110131.92+0422389;11;01;31.92;+04;22;38.9;12.69;6639;47;5918;;0.30;0.17;0.897;0.306;0.580  
110132.23-0933596;11;01;32.23;-09;33;59.6;11.96;0;0;0;;0.34;0.29;1.059;0.381;0.860  
110132.68+3052544;11;01;32.68;+30;52;54.4;12.86;16953;47;5920;;0.29;0.24;0.986;0.264;0.840  
110132.86+2938079;11;01;32.86;+29;38;7.9;12.85;10340;40;-8;;0.36;0.33;1.007;0.331;0.900  
110133.26+0457059;11;01;33.26;+04;57;5.9;12.79;18261;29;5918;;0.46;0.35;1.202;0.459;0.760  
110133.83+0748344;11;01;33.83;+07;48;34.4;13.20;26707;44;5918;;0.21;0.14;1.254;0.428;0.680  
110133.83+1153140;11;01;33.83;+11;53;14.0;13.25;27970;48;5920;;0.23;0.18;1.182;0.432;0.780  
110134.21+0135099;11;01;34.21;+01;35;9.9;12.42;14953;51;5918;;0.41;0.25;1.053;0.398;0.600  
110135.14+1904330;11;01;35.14;+19;04;33.0;13.24;0;0;0;;0.18;0.16;0.994;0.343;0.900  
110136.65+1706560;11;01;36.65;+17;06;56.0;13.10;0;0;0;;0.25;0.19;1.265;0.545;0.740  
110137.48+0749546;11;01;37.48;+07;49;54.6;13.18;53499;49;5918;;0.21;0.14;1.273;0.722;0.640  
110137.81+1115586;11;01;37.81;+11;15;58.6;13.16;25332;63;5920;;0.25;0.20;1.300;0.633;0.780  
110138.86+2850390;11;01;38.86;+28;50;39.0;13.33;10333;22;-2;;0.31;0.12;1.009;0.425;0.400  
110138.89+0528139;11;01;38.89;+05;28;13.9;13.26;22428;52;5918;;0.20;0.18;0.993;0.280;0.880  
110138.99+0902267;11;01;38.99;+09;02;26.7;13.36;22169;33;5918;;0.22;0.18;0.984;0.183;0.820  
110139.99+2451260;11;01;39.99;+24;51;26.0;12.61;0;0;0;;0.43;0.33;0.996;0.241;0.760  
110140.03+2144250;11;01;40.03;+21;44;25.0;13.42;0;0;0;;0.33;0.15;1.367;0.354;0.440  
110140.05-0954453;11;01;40.05;-09;54;45.3;13.30;0;0;0;;0.21;0.21;1.324;0.625;1.000  
110140.48+0849047;11;01;40.48;+08;49;4.7;12.81;0;0;0;;0.25;0.23;1.149;0.415;0.940  
110140.53+2943210;11;01;40.53;+29;43;21.0;13.16;12478;53;-8;;0.21;0.16;0.985;0.346;0.760  
110141.45+2658310;11;01;41.45;+26;58;31.0;12.89;0;0;0;;0.26;0.24;1.030;0.373;0.940  
110141.93+0544288;11;01;41.93;+05;44;28.8;12.05;15708;36;-160;;0.47;0.41;0.952;0.314;0.880  
110141.93+3441544;11;01;41.93;+34;41;54.4;13.24;33555;32;5920;;0.20;0.17;1.266;0.351;0.820  
110142.11+0007288;11;01;42.11;+00;07;28.8;13.19;19675;87;1777;;0.35;0.21;1.053;0.246;0.600  
110144.16-0651373;11;01;44.16;-06;51;37.3;11.35;9373;29;-160;;0.58;0.21;0.996;0.261;0.360  
110144.43+1843170;11;01;44.43;+18;43;17.0;11.95;6629;30;2700;;0.32;0.26;0.944;0.228;0.820  
110145.04-0612154;11;01;45.04;-06;12;15.4;12.59;7596;87;1777;;0.30;0.14;1.046;0.347;0.460  
110145.57+2448530;11;01;45.57;+24;48;53.0;12.51;0;0;0;;0.25;0.18;1.051;0.390;0.720  
110145.57-0516261;11;01;45.57;-05;16;26.1;12.34;16278;85;1781;;0.32;0.28;0.983;0.389;0.880  
110146.26+1019477;11;01;46.26;+10;19;47.7;11.76;10669;49;5920;;0.53;0.24;1.040;0.394;0.440  
110146.61+1942330;11;01;46.61;+19;42;33.0;13.40;0;0;0;;0.23;0.16;0.999;0.399;0.720  
110146.83+1645330;11;01;46.83;+16;45;33.0;12.74;0;0;0;;0.25;0.22;1.035;0.456;0.880  
110147.12+1955160;11;01;47.12;+19;55;16.0;13.22;0;0;0;;0.23;0.19;1.139;0.453;0.840  
110147.48-0354391;11;01;47.48;-03;54;39.1;13.27;13730;87;1777;;0.25;0.19;0.974;0.298;0.740  
110147.53+1644370;11;01;47.53;+16;44;37.0;13.39;0;0;0;;0.25;0.21;1.050;0.319;0.840  
110148.63-0318081;11;01;48.63;-03;18;8.1;13.05;20790;52;5100;;0.38;0.26;1.250;0.448;0.680  
110148.66+0605527;11;01;48.66;+06;05;52.7;13.38;43607;17;5918;;0.30;0.16;1.350;0.613;0.540  
